#T,E,G,success rate 
10,1,0.05,0.0
10,1,0.1,0.0
10,1,0.15,0.0
10,1,0.2,0.0
10,1,0.25,0.0
10,2,0.05,0.0
10,2,0.1,0.0
10,2,0.15,0.0
10,2,0.2,0.0
10,2,0.25,0.0
10,4,0.05,0.0
10,4,0.1,0.0
10,4,0.15,0.0
10,4,0.2,0.0
10,4,0.25,0.0
10,8,0.05,0.0
10,8,0.1,0.0
10,8,0.15,0.0
10,8,0.2,0.0
10,8,0.25,0.0
10,16,0.05,0.0
10,16,0.1,0.0
10,16,0.15,0.0
10,16,0.2,0.0
10,16,0.25,0.0
10,32,0.05,0.0
10,32,0.1,0.0
10,32,0.15,0.0
10,32,0.2,0.0
10,32,0.25,0.0
10,64,0.05,0.0
10,64,0.1,0.0
10,64,0.15,0.0
10,64,0.2,0.0
10,64,0.25,0.0
10,128,0.05,0.0
10,128,0.1,0.0
10,128,0.15,0.0
10,128,0.2,0.0
10,128,0.25,0.0
10,256,0.05,0.0
10,256,0.1,0.0
10,256,0.15,0.0
10,256,0.2,0.0
10,256,0.25,0.0
20,1,0.05,0.0
20,1,0.1,0.0
20,1,0.15,0.0
20,1,0.2,0.0
20,1,0.25,0.0
20,2,0.05,0.0
20,2,0.1,0.0
20,2,0.15,0.0
20,2,0.2,0.0
20,2,0.25,0.0
20,4,0.05,0.0
20,4,0.1,0.0
20,4,0.15,0.0
20,4,0.2,0.0
20,4,0.25,0.0
20,8,0.05,0.0
20,8,0.1,0.0
20,8,0.15,0.0
20,8,0.2,0.0
20,8,0.25,0.0
20,16,0.05,0.0
20,16,0.1,0.0
20,16,0.15,0.0
20,16,0.2,0.0
20,16,0.25,0.0
20,32,0.05,0.0
20,32,0.1,0.0
20,32,0.15,0.0
20,32,0.2,0.0
20,32,0.25,0.0
20,64,0.05,0.0
20,64,0.1,0.0
20,64,0.15,0.0
20,64,0.2,0.0
20,64,0.25,0.0
20,128,0.05,0.0
20,128,0.1,0.0
20,128,0.15,0.0
20,128,0.2,0.0
20,128,0.25,0.0
20,256,0.05,0.0
20,256,0.1,0.0
20,256,0.15,0.0
20,256,0.2,0.0
20,256,0.25,0.0
30,1,0.05,0.0
30,1,0.1,0.0
30,1,0.15,0.0
30,1,0.2,0.0
30,1,0.25,0.0
30,2,0.05,0.0
30,2,0.1,0.0
30,2,0.15,0.0
30,2,0.2,0.0
30,2,0.25,0.0
30,4,0.05,0.0
30,4,0.1,0.0
30,4,0.15,0.0
30,4,0.2,0.0
30,4,0.25,0.0
30,8,0.05,0.0
30,8,0.1,0.0
30,8,0.15,0.0
30,8,0.2,0.0
30,8,0.25,0.0
